NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
3742208;2023-10-01;2023-10-01;15:05:28;15:25:00;51,370;2630,000;19,533;71,5;73,7;A;7;A7;aflopend;P Breezanddijk;brug over Stevinsluizen;Zurich;Den Oever;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 20];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742223;2023-10-01;2023-10-01;15:26:28;15:32:00;11,977;2164,000;5,533;71,6;73,8;A;7;A7;aflopend;P Breezanddijk;brug over Stevinsluizen;Zurich;Den Oever;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 6];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742225;2023-10-01;2023-10-01;15:28:27;16:39:00;280,058;3970,000;70,550;49,3;50,9;A;9;A9;aflopend;Velsen;brug over het Zijkanaal C;Alkmaar;Amstelveen;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 2], [Ongeval(len) 39], [Geen oorzaakcode opgegeven door VWM 30];[000], [ACI], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
3742226;2023-10-01;2023-10-01;15:29:27;16:11:00;108,870;2620,000;41,550;53,8;55,9;A;1;A1;aflopend;Barneveld;Hoevelaken;Amersfoort;Amsterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 42];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742229;2023-10-01;2023-10-01;15:32:28;16:03:00;81,575;2672,000;30,533;71,6;74,0;A;7;A7;aflopend;P Breezanddijk;brug over Stevinsluizen;Zurich;Den Oever;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 31];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742247;2023-10-01;2023-10-01;15:57:27;16:10:00;30,648;2442,000;12,550;7,7;9,8;A;32;A32;aflopend;Meppel;Meppel-Zuid;Heerenveen;Meppel;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 13];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742248;2023-10-01;2023-10-01;15:58:27;16:00:01;4,073;2600,000;1,567;164,2;166,8;A;2;A2;aflopend;De Hogt;Batadorp;Maastricht;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742249;2023-10-01;2023-10-01;15:58:27;16:00:01;3,133;2000,000;1,567;0,0;2,0;N;11;N11;aflopend;Zoeterwoude-Weipoort/Rijndijk;A4: Zoeterwoude-Rijndijk;Bodegraven;Leiden;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742250;2023-10-01;2023-10-01;15:59:27;16:01:00;3,255;2100,000;1,550;98,3;100,4;A;6;A6;aflopend;Urk;Ketelbrug;Emmeloord;Lelystad;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742277;2023-10-01;2023-10-01;16:37:27;16:39:00;3,565;2300,000;1,550;163,3;165,6;A;2;A2;aflopend;De Hogt;Batadorp;Maastricht;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742278;2023-10-01;2023-10-01;16:40:27;17:05:00;83,710;3410,000;24,550;163,7;167,2;A;2;A2;aflopend;De Hogt;Batadorp;Maastricht;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 25];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742279;2023-10-01;2023-10-01;16:41:27;16:43:00;3,565;2300,000;1,550;2,2;4,5;N;99;N99;aflopend;Breezand;Den Helder/Alkmaar;Den Oever;Den Helder;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742282;2023-10-01;2023-10-01;16:46:27;16:56:00;29,760;3116,000;9,550;23,8;30,9;N;57;N57;aflopend;Goedereede;Stellendam;Ouddorp;Stellendam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742310;2023-10-01;2023-10-01;17:54:26;17:56:00;3,447;2200,000;1,567;141,4;143,6;A;12;A12;aflopend;Zevenaar;Duiven;Duitse grens;Arnhem;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742312;2023-10-01;2023-10-01;17:55:27;18:09:00;17,093;1262,000;13,550;36,0;36,9;A;27;A27;aflopend;Gorinchem;Industriegebied Avelingen;Gorinchem;Breda;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 14];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742313;2023-10-01;2023-10-01;17:55:27;17:58:00;5,510;2161,000;2,550;34,5;32,3;A;27;A27;oplopend;Werkendam;Merwedebrug;Breda;Gorinchem;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742315;2023-10-01;2023-10-01;17:58:26;18:29:00;77,790;2545,000;30,567;34,5;32,4;A;27;A27;oplopend;Werkendam;Merwedebrug;Breda;Gorinchem;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 31];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742373;2023-10-02;2023-10-02;6:25:23;7:25:04;280,193;4695,000;59,683;23,9;27,7;A;7;A7;aflopend;Avenhorn;Purmerend-Noord;Hoorn;Zaanstad;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 16], [Ongeval(len) 37], [Geen oorzaakcode opgegeven door VWM 7];[000], [ACI], [000];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
3742374;2023-10-02;2023-10-02;6:27:23;6:50:02;69,343;3062,000;22,650;44,8;41,9;A;27;A27;oplopend;Noordeloos;Lexmond;Gorinchem;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 23];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742375;2023-10-02;2023-10-02;6:27:23;6:36:00;24,132;2801,000;8,617;36,6;38,7;A;4;A4;aflopend;Leidschendam;Zoeterwoude-Dorp;Den Haag;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742376;2023-10-02;2023-10-02;6:29:23;6:31:00;4,850;3000,000;1,617;32,1;29,1;A;27;A27;oplopend;Werkendam;Merwedebrug;Breda;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742377;2023-10-02;2023-10-02;6:29:23;6:51:00;60,953;2820,000;21,617;61,6;59,3;A;4;A4;oplopend;Delft;Ketheltunnel;Den Haag;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 22];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742420;2023-10-02;2023-10-02;6:53:25;6:55:02;3,395;2100,000;1,617;30,7;32,8;A;28;A28;aflopend;Amersfoort-Vathorst;Hoevelaken;Zwolle;Amersfoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742421;2023-10-02;2023-10-02;6:54:25;6:57:00;7,097;2747,000;2,583;35,3;38,3;A;4;A4;aflopend;Leidschendam;Zoeterwoude-Dorp;Den Haag;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742422;2023-10-02;2023-10-02;6:54:25;7:38:00;168,350;3863,000;43,583;21,8;24,0;A;58;A58;aflopend;Moergestel;Oirschot;Tilburg;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 44];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742423;2023-10-02;2023-10-02;6:55:25;7:05:03;25,478;2645,000;9,633;31,6;34,2;A;28;A28;aflopend;Amersfoort-Vathorst;Hoevelaken;Zwolle;Amersfoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742425;2023-10-02;2023-10-02;6:56:25;7:05:03;23,828;2760,000;8,633;43,4;41,2;A;27;A27;oplopend;Noordeloos;Lexmond;Gorinchem;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742472;2023-10-02;2023-10-02;7:16:26;7:18:00;3,290;2100,000;1,567;88,4;90,5;A;59;A59;aflopend;Terheijden;Zonzeel;'s-Hertogenbosch;Knooppunt Zonzeel;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742473;2023-10-02;2023-10-02;7:17:27;7:26:00;24,128;2822,000;8,550;58,8;61,6;A;15;A15;aflopend;Vaanplein;Rotterdam-Charlois;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742474;2023-10-02;2023-10-02;7:17:27;7:23:00;12,590;2268,000;5,550;94,5;96,5;A;15;A15;aflopend;Arkel;Gorinchem;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742475;2023-10-02;2023-10-02;7:17:27;7:25:04;14,112;1853,000;7,617;26,2;24,1;A;27;A27;oplopend;Hank;Nieuwendijk;Breda;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742476;2023-10-02;2023-10-02;7:17:27;7:20:04;5,592;2137,000;2,617;73,5;71,4;A;4;A4;oplopend;Vlaardingen-Oost;Beneluxtunnel;Den Haag;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742530;2023-10-02;2023-10-02;7:29:27;7:36:06;20,948;3150,000;6,650;126,5;129,4;A;15;A15;aflopend;Tiel-West;Wadenoijen;Nijmegen;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742531;2023-10-02;2023-10-02;7:29:27;7:32:00;5,440;2133,000;2,550;54,6;56,7;A;15;A15;aflopend;Vaanplein;Rotterdam-Charlois;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742532;2023-10-02;2023-10-02;7:29:27;7:32:00;5,183;2033,000;2,550;22,1;24,1;A;16;A16;aflopend;Ridderkerk-Noord;Rotterdam-Feijenoord;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742533;2023-10-02;2023-10-02;7:29:27;7:31:04;2,102;1300,000;1,617;26,9;25,6;A;27;A27;oplopend;Hank;Nieuwendijk;Breda;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742534;2023-10-02;2023-10-02;7:29:27;7:32:00;5,330;2090,000;2,550;182,3;184,3;A;2;A2;aflopend;Maarheeze;Leende;Maastricht;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742600;2023-10-02;2023-10-02;7:39:27;8:01:01;73,183;3393,000;21,567;45,9;48,0;A;16;A16;aflopend;Klaverpolder;Moerdijkbrug;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 22];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742601;2023-10-02;2023-10-02;7:39:27;7:41:00;2,635;1700,000;1,550;46,5;44,8;A;27;A27;oplopend;Noordeloos;Lexmond;Gorinchem;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742602;2023-10-02;2023-10-02;7:39:27;8:15:07;100,130;2807,000;35,667;19,0;22,1;A;58;A58;aflopend;Oirschot;Best;Tilburg;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 36];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742603;2023-10-02;2023-10-02;7:39:27;7:42:00;5,660;2220,000;2,550;123,5;121,3;A;59;A59;oplopend;Heusden;Nieuwkuijk;Knooppunt Zonzeel;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742604;2023-10-02;2023-10-02;7:39:27;7:44:00;10,285;2260,000;4,550;119,8;117,8;A;59;A59;oplopend;Drunen-West;Heusden;Knooppunt Zonzeel;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742676;2023-10-02;2023-10-02;7:48:28;9:16:02;329,958;3768,000;87,567;21,6;23,8;N;44;N44;aflopend;Voorschoten;A44: Wassenaar;Den Haag;Wassenaar;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 88];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742678;2023-10-02;2023-10-02;7:49:28;7:52:01;6,120;2400,000;2,550;36,7;39,1;A;28;A28;aflopend;Strand Nulde;Nijkerk;Zwolle;Amersfoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742679;2023-10-02;2023-10-02;7:49:28;7:59:01;21,885;2292,000;9,550;0,0;2,3;N;11;N11;aflopend;Zoeterwoude-Weipoort/Rijndijk;A4: Zoeterwoude-Rijndijk;Bodegraven;Leiden;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742681;2023-10-02;2023-10-02;7:51:28;8:28:00;128,423;3515,000;36,533;57,5;59,9;A;15;A15;aflopend;Vaanplein;Rotterdam-Charlois;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 37];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742768;2023-10-02;2023-10-02;8:01:28;8:54:01;271,807;5172,000;52,550;75,3;79,7;A;2;A2;aflopend;Everdingen;Everdingen;'s-Hertogenbosch;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 53];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742769;2023-10-02;2023-10-02;8:01:28;8:17:01;49,872;3207,000;15,550;137,5;135,4;A;50;A50;oplopend;Paalgraven;Ravenstein;Oss;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 16];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742770;2023-10-02;2023-10-02;8:01:28;8:02:28;2,100;2100,000;1,000;154,5;152,4;A;50;A50;oplopend;Ewijk;Valburg;Oss;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742773;2023-10-02;2023-10-02;8:02:28;8:57:00;151,793;2783,000;54,533;232,2;229,8;N;18;N18;oplopend;Groenlo;Groenlo-Laarberg;Varsseveld;Enschede;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 55];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742774;2023-10-02;2023-10-02;8:01:28;8:02:28;2,200;2200,000;1,000;39,6;41,8;N;35;N35;aflopend;Wierden-West;Rijssen;Almelo;Zwolle;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742854;2023-10-02;2023-10-02;8:14:29;8:17:01;5,573;2200,000;2,533;23,7;25,9;A;58;A58;aflopend;Moergestel;Oirschot;Tilburg;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742855;2023-10-02;2023-10-02;8:13:28;8:17:01;7,455;2100,000;3,550;110,1;108,0;A;59;A59;oplopend;Waspik;Dussen;Knooppunt Zonzeel;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742856;2023-10-02;2023-10-02;8:14:29;8:22:02;20,082;2660,000;7,550;24,5;21,5;A;9;A9;oplopend;AMC Ziekenhuis;Amstelveen;Diemen;Amstelveen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742857;2023-10-02;2023-10-02;8:14:29;8:17:01;10,387;4100,000;2,533;6,0;10,0;N;36;N36;aflopend;Wierden-Noord;Almelo-West;Dedemsvaart;Almelo;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742858;2023-10-02;2023-10-02;8:16:29;8:36:07;47,027;2395,000;19,633;57,5;59,5;A;15;A15;aflopend;Vaanplein;Rotterdam-Charlois;Ridderkerk;Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 20];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742942;2023-10-02;2023-10-02;8:27:29;8:31:05;8,175;2271,000;3,600;6,8;9,0;A;27;A27;aflopend;Oosterhout-Zuid;Breda-Noord;Gorinchem;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742944;2023-10-02;2023-10-02;8:27:29;8:31:06;8,380;2317,000;3,617;49,0;51,2;A;4;A4;aflopend;Rijswijk-Plaspoelpolder;Den Haag-Ypenburg;Rotterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742945;2023-10-02;2023-10-02;8:27:29;8:29:00;3,185;2100,000;1,517;109,1;111,2;A;50;A50;aflopend;Eerde;Sint-Oedenrode;Oss;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
